labels,text
0,I could n't tell
0,you hate the russians 
0,without warning
0,that we had nothing to fear from the ussr 
0,when the kid stood up with a raised rifle
0,One star (
0,only because imdb wo n't let me rate
1,This show was once one of the greatest nicktoons
1,It was genuinely funny and creative 
0,Sadly  that 's not the case with the mountain of absolute trash
0,Spongebob has been downgraded and turned into a mindless whining 
0,The plots  animation and dialogue show no effort whatsoever . ( i think
0,all the original cast might have left the show ) a prime example
0,of how nickelodeon has sealed its own grave 
0,ruining their greatest shows
0,Finally hitting the lowest level of direct to video hell 
0,the wishmaster is consigned to this awful mess
0,after finding a djinn gem in even a cheaper box than the first three movies 
0,to seduce one of his clients  the typical hot babe
0,The wishmaster then proceeds to kill off everyone in her life
0,The movie also contains a disjointed narrative
0,"I really hate the "" hunter "" character "
0,because first  he kills innocent bystanders as well 
1,The best thing
0,and i do not understand the language i
0,You do n't pan indoors
0,And you do n't put it on a desk
0,Probably the worst thing of the movie was 
0,I do n't know
0,why people should watch this film
1,The original film works
1,because it had all the ingredients
1,to make it great
0,I 'm not sure
1,Queen latifah has proved herself to be a fairly good actress 
0,Instead of giving her character witty and smart dialog 
1,And that speaks volumes
0,Juno is probably the most over-rated film
0,that this film was about a pregnant teenager  i was put off 
1,how good it is
1,it is oscar nominated i
0,i was wrong to ever think
0,Juno as a character is possibly the most arrogant and annoying i
0,would never around like an ungrateful little b ** ch especially to her step mother
0,I also hated jennifer garners character and her husband once again annoying characters
0,as if you should turn this film off
0,that disliked it
0,considering giving it 2 or 3 on imdb
0,Which it was n't 
0,even though they tend to suck
0,There is no gore or nudity and virtually no blood 
1,The plot is actually reasonable 
0,Unfortunately the screenplay is far too talky  mostly risible and the few good lines are generally
0,The direction is ridiculously amateur 
0,turning every scene with action
0,Most heinous of all is the underuse of the sasquatch 
1,The sasquatch is certainly the most likable character 
0,since it does n't have to utter any rubbish dialogue
1,Even though it looks like it wandered onto the set from a completely different movie  its still a likable
0,Still  it does n't provide any reason
0,for watching this one 
0,It makes me sad
0,He never tries to understand them 
0,but always shows in the movie
0,that only he  bill maher  is right
0,""" in my strong opinion "" it is a very bad offense against society"
0,that the movie 's creator miserably fails to understand
