labels,text
0,They dispatched the police department 45 minutes
0,after an alarm went off
0,even though the alarm code was used
0,to deactivate the alarm
0,They were suppose to send me a faub key
0,It arrived
0,late  it was sent back
0,and now they are claiming
0,I have filed several complaints with the bbb
0,but seems they pay them good money
0,so the bbb ends out
0,closing the cases
0,and takes the side of the company
0,I would give zero stars
0,If you like freezing cold food with warm ice tea 
0,Horrible service  we were greeted with a bowl of broken store
0,bought chips and weak salsa 
0,The waiter forgot to enter our order 
0,Afraid
0,so unclean 
0,what is the silverware 
0,produce 
0,I really hate to do this 
0,Unfortunately  it was the management and not the lounge
0,The manager ( tommy ) was slow/nearly impossible to reach and even harder to get info out of ...
0,He seemed annoyed
0,After several incomplete emails he finally called me  at my request 
0,not to worry about bad service 
0,We need a place with a more mature management staff ...
1,Well  we were craving chinese food  and i
0,If you 've ever smelled or accidentally tasted rotten chicken 
0,you know
0,it 's not something
0,you ever forget 
0,Zero stars
0,It 's a shit hole 
0,and you get no variety 
0,and i 'll be darn
0,The hostess was exceptionally rude
0,it unfinished
1,Our table server was pleasant and professional  much more
0,They are very very rude like they are
0,Never again will i or anyone
0,Worst time ever
0,A fair warning has
0,Mesquite or no 
0,it does n't really make much difference
0,And it does n't help much
0,to pile on a bunch of junk from the condiment/topping bar
0,I 'd much rather have a burger
0,like they do it at delux
0,when the kitchen applies the toppings for you 
0,all was bland
1,that was good
0,I am rating this restaurant with 1 star 
0,Everything
0,The wings had very little sauce 
0,The calzone and pizza crust were dry  as an actual native new yorker 
0,my fellow new yorkers would be as disgusted with the food as my wife
0,This culver 's has the worse service of any fast food place
0,My passenger actually called
0,culver 's to try to get helped of course
0,Finally took order
0,and when i paid rather than apologize for the wait clerk
0,They make
0,you pull up and than
0,when it backs up
0,Food would have to perfect to make up for the sorry service
0,If you want to be laughed at for expecting even minimal service
1,The hostess was nice 
0,The food was not good  and not worth the money
0,The duck was so salty i could n't eat it 
0,My wife also complained about her entree
0,being too salty 
0,We wo n't be going back 
0,I was diagnosed with food poisoning from organic melons
0,The biggest disappointment is
0,that steve is not an example
0,While we waited 
0,we witnessed
0,each club echelon patron getting
0,packed down to see
0,In my entire life i 've never
0,This is honestly the worst starbucks experience
1,i go here almost everyday
1,because it 's right
0,Although  i 'm
0,I have tried
0,to figure it out
0,A couple times last week
0,whoever takes the orders was trying to be funny
0,and would n't just take my order
0,Every time
0,i get
0,my coffee drink i swear i
0,wo n't be back ...
0,They really need to up their customer service
1,It 's a prime location
0,this place is absolutely the bottom
1,The atmosphere is nice
0,Our server never once asked us
0,if we wanted refills 
0,and it took nearly a half an hour
0,Nope ! 2 workers were in the store ...
0,J and i dropped all the items
0,that
0,if i did n't have that coupon on my phone ( or printed ) 
0,Thus  you need
0,to be sure
0,the guy quickly walked over to the car 
0,"checked  and then instantly explained "" it 's full "
0,I frankly told them
0,They charged me 60.00
